label,status,objective,economic_cost,first_stage_cost,operating_cost,latency_proxy,expected_co2,expected_water,co2_intensity,water_intensity,opened_sites,num_opened_sites,active_links,committed_capacity,accounting_mode,variant,gamma_co2,co2_slack,lambda_c,lambda_w,interconnect_cost_multiplier,water_cap_winter,water_used_winter,water_slack_winter,water_cap_spring,water_used_spring,water_slack_spring,water_cap_summer,water_used_summer,water_slack_summer,water_cap_autumn,water_used_autumn,water_slack_autumn,binding_water_periods,water_cap_factor,experiment
Water cap 100%,2,4567.285221652145,4567.285221652144,3215.382390565537,1351.9028310866072,0.0,249.5564001720916,529.7802683965702,0.1993090987133784,0.4231108788932614,"C1,C2,C3,C4,S1,S3",6,13,386.68652208301705,location_time,capped,,,,,1.0,103.22484698980546,103.22484698980546,0.0,122.61140859044865,122.61140859044865,0.0,183.89633552321558,183.89633552321558,0.0,120.04767729310055,120.04767729310055,0.0,"winter,spring,summer,autumn",1.0,water_cap_sweep
Water cap 95%,2,4588.7044597240365,4588.7044597240365,3240.38677961139,1348.317680112647,0.0,240.00491830938972,498.89244374062457,0.19168077405362405,0.39844220884854153,"C1,C2,C3,C4,S1,S3",6,14,386.6865220830174,location_time,capped,,,,,1.0,98.06360464031518,96.72022013645169,1.34338450386349,116.48083816092621,115.39466792727613,1.0861702336500798,174.7015187470548,174.70151874705482,-2.842170943040401e-14,114.04529342844552,112.07603692984195,1.9692564986035705,summer,0.95,water_cap_sweep
Water cap 90%,2,4691.937213908907,4691.937213908907,3337.115121797495,1354.8220921114128,0.0,210.26867329632623,472.8795568349599,0.167931817150147,0.37766692502281785,"C1,C2,C3,C4,S1,S3",6,14,386.68652208301745,location_time,capped,,,,,1.0,92.90236229082491,91.68283142489258,1.2195308659323274,110.35026773140379,109.46757420287663,0.882693528527156,165.50670197089403,165.50670197089408,-5.684341886080802e-14,108.0429095637905,106.2224492362966,1.8204603274939046,summer,0.9,water_cap_sweep
Water cap 85%,2,4855.794360520258,4855.794360520257,3480.8095708408605,1374.984789679397,0.0,171.0469471747578,450.3132281370847,0.13660724732191545,0.35964424705927217,"C1,C2,C3,C4,S1,S3",6,14,386.686522083017,location_time,capped,,,,,1.0,87.74111994133463,87.74111994133465,-1.4210854715202004e-14,104.21969730188135,104.21969730188134,1.4210854715202004e-14,156.31188519473324,156.31188519473326,-2.842170943040401e-14,102.04052569913546,102.04052569913544,1.4210854715202004e-14,"winter,spring,summer,autumn",0.85,water_cap_sweep
