alpha,cap_co2,cap_cost,nearest_lambda_c,nearest_lambda_w,price_co2,price_cost,co2_gap,cost_gap
1.0,249.5564001720916,4567.285221652141,0,0,249.5564001720916,4567.285221652146,0.0,4.547473508864641e-12
0.95,235.12168307416482,4575.6024508362425,0,2,240.51335138979974,4588.795398780681,5.3916683156349166,13.192947944438856
0.9,224.6007601548824,4586.372698138262,2,0,215.40207212889166,4594.227425653378,-9.198688025990748,7.854727515115883
0.85,212.12294014627778,4605.5147272735885,0,5,211.5728740425372,4698.914166911214,-0.5500661037405905,93.39943963762562
0.8,199.6451201376733,4647.370545486765,0,5,211.5728740425372,4698.914166911214,11.927753904863891,51.54362142444916
0.75,187.16730012906868,4689.262150272478,2,2,176.84868062725903,4775.477054926355,-10.31861950180965,86.21490465387706
