seed,case,fixed_commitments,status,economic_cost,cost_increase_pct,capacity_change_l1,added_links,removed_links,expected_carbon_ratio,worst_carbon_ratio,expected_water_ratio,worst_water_ratio
11,allocation_only,"x,capacity,g",3,,,,,,,,,
11,capacity_only,"x,g",3,,,,,,,,,
11,links_only,"x,capacity",3,,,,,,,,,
11,capacity_and_links,x,2,4691.937213908907,2.729235994849266,89.16218534336824,4.0,3.0,0.9912585274903651,1.2477726041888686,1.0000000000000004,1.2590822901619323
11,all_decisions,,2,4691.937213908908,2.7292359948492884,89.16218534336839,4.0,3.0,0.9912585274903651,1.2477726041888688,1.0000000000000002,1.2590822901619323
12,allocation_only,"x,capacity,g",3,,,,,,,,,
12,capacity_only,"x,g",3,,,,,,,,,
12,links_only,"x,capacity",3,,,,,,,,,
12,capacity_and_links,x,2,4672.072356441011,2.4954623220216465,101.59414439271465,5.0,3.0,0.9547973062014459,1.1978134888946323,0.99985600671878,1.2449249288015345
12,all_decisions,,2,4672.0723564410055,2.4954623220215355,101.594144392714,5.0,3.0,0.9547973062014458,1.197813488894632,0.9998560067187798,1.244924928801534
13,allocation_only,"x,capacity,g",3,,,,,,,,,
13,capacity_only,"x,g",3,,,,,,,,,
13,links_only,"x,capacity",3,,,,,,,,,
13,capacity_and_links,x,2,4687.177106572152,2.625208923601119,82.8162600977384,3.0,1.0,0.9873936150366922,1.242910391642749,0.9999999999999998,1.2623739504069111
13,all_decisions,,2,4687.177106572151,2.6252089236010967,82.8162600977378,3.0,1.0,0.9873936150366917,1.2429103916427482,1.0000000000000002,1.2623739504069116
14,allocation_only,"x,capacity,g",3,,,,,,,,,
14,capacity_only,"x,g",3,,,,,,,,,
14,links_only,"x,capacity",3,,,,,,,,,
14,capacity_and_links,x,2,4674.380652266158,2.58871661672595,82.03760921308174,3.0,1.0,0.9870203823783669,1.2380432568602167,1.0,1.2593974022063457
14,all_decisions,,2,4674.380652266158,2.58871661672595,82.03760921308185,3.0,1.0,0.9870203823783669,1.2380432568602167,0.9999999999999998,1.2593974022063454
15,allocation_only,"x,capacity,g",3,,,,,,,,,
15,capacity_only,"x,g",3,,,,,,,,,
15,links_only,"x,capacity",3,,,,,,,,,
15,capacity_and_links,x,2,4708.214840070942,2.6592315725039395,87.2611425938251,4.0,3.0,0.9905135115670549,1.2535281947167614,1.0000000000000002,1.267566747688743
15,all_decisions,,2,4708.214840070943,2.6592315725039617,87.26114259382462,4.0,3.0,0.9905135115670547,1.253528194716761,1.0000000000000004,1.2675667476887431
16,allocation_only,"x,capacity,g",3,,,,,,,,,
16,capacity_only,"x,g",3,,,,,,,,,
16,links_only,"x,capacity",3,,,,,,,,,
16,capacity_and_links,x,2,4665.423720451519,2.6105049178465567,86.22442379003245,3.0,1.0,0.9876808347025369,1.2380616687882773,1.0000000000000002,1.2503209801319513
16,all_decisions,,2,4665.423720451519,2.6105049178465567,86.22442379003306,3.0,1.0,0.9876808347025373,1.238061668788278,0.9999999999999998,1.2503209801319508
17,allocation_only,"x,capacity,g",3,,,,,,,,,
17,capacity_only,"x,g",3,,,,,,,,,
17,links_only,"x,capacity",3,,,,,,,,,
17,capacity_and_links,x,2,4684.4079163854885,2.608118266854187,86.21729002777568,3.0,1.0,0.9900224621261825,1.244508416541545,0.9999999999999997,1.2573013740836758
17,all_decisions,,2,4684.407916385489,2.608118266854209,86.21729002777502,3.0,1.0,0.9900224621261827,1.2445084165415448,1.0,1.2573013740836765
18,allocation_only,"x,capacity,g",3,,,,,,,,,
18,capacity_only,"x,g",3,,,,,,,,,
18,links_only,"x,capacity",3,,,,,,,,,
18,capacity_and_links,x,2,4676.08741723739,2.6266351751103256,85.73089803406916,3.0,1.0,0.9880355982170388,1.2382247726338353,1.0000000000000002,1.2544220896428737
18,all_decisions,,2,4676.087417237389,2.6266351751103256,85.73089803407026,3.0,1.0,0.9880355982170391,1.2382247726338362,0.9999999999999998,1.2544220896428728
19,allocation_only,"x,capacity,g",3,,,,,,,,,
19,capacity_only,"x,g",3,,,,,,,,,
19,links_only,"x,capacity",3,,,,,,,,,
19,capacity_and_links,x,2,4679.776787482525,2.6303946019483826,85.07823852576486,3.0,1.0,0.9876416593002649,1.2386672821332771,0.9999999999999997,1.2615169729330704
19,all_decisions,,2,4679.776787482525,2.6303946019483826,85.07823852576392,3.0,1.0,0.9876416593002644,1.2386672821332758,1.0,1.2615169729330709
20,allocation_only,"x,capacity,g",3,,,,,,,,,
20,capacity_only,"x,g",3,,,,,,,,,
20,links_only,"x,capacity",3,,,,,,,,,
20,capacity_and_links,x,2,4693.175775127115,2.713537462752247,89.85127495141066,4.0,3.0,0.9916278372076571,1.2522946122558853,1.0,1.2543479841234222
20,all_decisions,,2,4693.175775127116,2.713537462752269,89.8512749514112,4.0,3.0,0.9916278372076572,1.2522946122558856,0.9999999999999997,1.2543479841234217
