regime,alpha,carbon_reduction_pct,cost_increase_pct,water_change_pct
Carbon-only,1.0,0.0,-9.992007221626409e-14,0.0
Carbon-only,0.95,5.7841502313596305,0.18210444017525695,-2.556544256500204
Carbon-only,0.9,10.000000000000009,0.41791733075107196,-0.992185819775615
Carbon-only,0.85,15.000000000000046,0.83702908327703,0.7338185105917105
Carbon-only,0.8,19.999999999999996,1.7534557170845844,-0.7927374591238157
Carbon-only,0.75,25.00000000000001,2.6706658923352444,-3.5671570374352535
Joint expected targets,0.85,15.743025163318968,2.7292359948492884,-10.740436168720613
