plan,economic_cost,cost_premium_pct,expected_carbon_ratio,worst_carbon_ratio,expected_water_ratio,worst_water_ratio
Cost-only,4567.285221652146,0.0,1.1764705882352942,1.4085915785156862,1.1111111111111112,1.361090404231241
Expected targets,4691.937213908908,2.7292359948492884,0.9912585274903651,1.2477726041888688,1.0000000000000002,1.2590822901619323
"Prices (0, 5)",4698.914166911214,2.881995296353601,0.9974068523500508,1.2578527958186383,0.9920155329543892,1.2315447674598592
Scenario-wise targets,5774.347101673307,26.428432240203414,0.512505682655887,0.59887055845503,0.8719056088028283,1.0
