case,minimum_sum,carbon_excess,winter_water_excess,spring_water_excess,summer_water_excess,autumn_water_excess
allocation_only,0.6209150326797386,0.17647058823529438,0.11111111111111116,0.11111111111111094,0.11111111111111116,0.11111111111111094
capacity_only,0.6209150326797386,0.1764705882352955,0.11111111111111716,0.1111111111111176,0.11111111111111116,0.11111111111111649
links_only,0.281460322881557,0.11849253337064969,0.03001826380987338,0.043403298357452824,0.0688194261520354,0.02072680119154513
capacity_and_links,0.0,0,0,0,0,0
all_decisions,0.0,0,0,0,0,0
