solution,status,has_solution,demand_error,capacity_excess,link_excess,strategic_excess,integer_error,carbon_error,water_error
price_C40_W10,2,True,1.3713474800169934e-12,1.3642420526593924e-12,1.3713474800169934e-12,0.0,0.0,0.0,0.0
price_C40_W2,2,True,4.263256414560601e-14,1.4210854715202004e-13,2.1316282072803006e-14,0.0,0.0,0.0,0.0
price_C40_W20,2,True,4.263256414560601e-14,5.684341886080802e-14,4.263256414560601e-14,0.0,0.0,0.0,0.0
price_C40_W40,2,True,0.0,3.410605131648481e-13,0.0,0.0,0.0,0.0,0.0
price_C40_W5,2,True,1.7692514120426495e-12,1.7621459846850485e-12,1.7692514120426495e-12,0.0,0.0,0.0,0.0
price_C40_W80,2,True,0.0,8.526512829121202e-13,0.0,0.0,0.0,0.0,0.0
price_C5_W0,2,True,7.105427357601002e-15,1.5631940186722204e-13,0.0,0.0,0.0,0.0,0.0
price_C5_W10,2,True,4.263256414560601e-14,5.684341886080802e-14,7.105427357601002e-15,0.0,0.0,0.0,0.0
price_C5_W2,2,True,7.105427357601002e-15,4.263256414560601e-13,0.0,0.0,0.0,0.0,0.0
price_C5_W20,2,True,3.552713678800501e-14,3.552713678800501e-14,3.552713678800501e-14,0.0,0.0,0.0,0.0
price_C5_W40,2,True,2.0605739337042905e-13,3.552713678800501e-14,2.842170943040401e-14,0.0,0.0,0.0,0.0
price_C5_W5,2,True,0.0,6.252776074688882e-13,0.0,0.0,0.0,0.0,0.0
price_C5_W80,2,True,0.0,7.958078640513122e-13,0.0,0.0,0.0,0.0,0.0
price_C80_W0,2,True,4.973799150320701e-14,5.684341886080802e-14,4.973799150320701e-14,0.0,0.0,0.0,0.0
price_C80_W10,2,True,3.552713678800501e-14,1.4210854715202004e-14,3.552713678800501e-14,0.0,0.0,0.0,0.0
price_C80_W2,2,True,4.263256414560601e-14,2.842170943040401e-14,1.7763568394002505e-14,0.0,0.0,0.0,0.0
price_C80_W20,2,True,8.526512829121202e-14,2.842170943040401e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0
price_C80_W40,2,True,3.552713678800501e-14,3.552713678800501e-14,7.105427357601002e-15,0.0,0.0,0.0,0.0
price_C80_W5,2,True,1.2079226507921703e-13,1.1368683772161603e-13,3.552713678800501e-15,0.0,0.0,0.0,0.0
price_C80_W80,2,True,0.0,3.552713678800501e-14,0.0,0.0,0.0,0.0,0.0
water_cap_100,2,True,0.0,2.2737367544323206e-13,0.0,0.0,0.0,0.0,0.0
water_cap_85,2,True,1.4210854715202004e-14,1.9895196601282805e-13,0.0,0.0,0.0,0.0,0.0
water_cap_90,2,True,0.0,8.526512829121202e-14,0.0,0.0,0.0,0.0,0.0
water_cap_95,2,True,0.0,9.237055564881302e-14,0.0,0.0,0.0,0.0,0.0
