sensitivity,economic_cost,expected_co2,expected_water,active_links
Accounting: location_time,4605.5147272735885,212.12294014627778,533.6678940715267,15
Accounting: location_annual,4604.2689524911075,212.12294014627795,532.4338666237962,15
Accounting: market_time,4567.285221652141,187.52777033582126,529.7802683965702,13
Accounting: market_annual,4567.285221652144,187.01583772745215,529.7802683965702,13
Interconnection x0.5,4445.932075305375,235.12168307416493,516.2362013728065,13
Interconnection x1,4567.285221652146,249.5564001720916,529.7802683965702,13
Interconnection x2,4795.533970895017,241.0779073297355,538.2681486312121,13
Interconnection x4,5240.7511834964225,241.0779073297355,538.2681486312121,13
