label,status,objective,economic_cost,first_stage_cost,operating_cost,latency_proxy,expected_co2,expected_water,co2_intensity,water_intensity,opened_sites,num_opened_sites,active_links,committed_capacity,accounting_mode,variant,gamma_co2,co2_slack,lambda_c,lambda_w,interconnect_cost_multiplier,binding_water_periods,alpha,experiment
Carbon cap 100%,2,4567.285221652142,4567.285221652141,3215.3823905655345,1351.9028310866072,0.0,249.5564001720916,529.7802683965702,0.1993090987133784,0.4231108788932614,"C1,C2,C3,C4,S1,S3",6,13,386.68652208301665,location_time,capped,249.5564001720916,0.0,,,1.0,,1.0,carbon_cap_sweep
Carbon cap 95%,2,4575.6024508362425,4575.6024508362425,3230.772435540417,1344.8300152958252,0.0,235.12168307416482,516.2362013728064,0.18778076101902774,0.41229386202028817,"C1,C2,C3,C4,S1,S3",6,13,386.6865220830171,location_time,capped,237.078580163487,1.956897089322183,,,1.0,,0.95,carbon_cap_sweep
Carbon cap 90%,2,4586.372698138262,4586.372698138262,3228.1199212573893,1358.2527768808732,0.0,224.6007601548824,524.5238636975703,0.17937818884204054,0.4189128327509545,"C1,C2,C3,C4,S1,S3",6,14,386.68652208301756,location_time,capped,224.60076015488244,2.842170943040401e-14,,,1.0,,0.9,carbon_cap_sweep
Carbon cap 85%,2,4605.5147272735885,4605.5147272735885,3239.2373749613785,1366.27735231221,0.0,212.12294014627778,533.6678940715267,0.16941273390637157,0.42621574484290736,"C1,C2,C3,C4,S1,S3",6,15,386.6865220830176,location_time,capped,212.12294014627784,5.684341886080802e-14,,,1.0,,0.85,carbon_cap_sweep
Carbon cap 80%,2,4647.370545486765,4647.370545486765,3277.5517297234437,1369.818815763321,0.0,199.6451201376733,525.5805017579439,0.15944727897070274,0.4197567204626465,"C1,C2,C3,C4,S1,S3",6,15,386.6865220830175,location_time,capped,199.6451201376733,0.0,,,1.0,,0.8,carbon_cap_sweep
Carbon cap 75%,2,4689.262150272478,4689.262150272478,3319.8919770240677,1369.37017324841,0.0,187.16730012906868,510.8821742695186,0.1494818240350338,0.40801784940066627,"C1,C2,C3,C4,S1,S3",6,14,386.68652208301677,location_time,capped,187.1673001290687,2.842170943040401e-14,,,1.0,,0.75,carbon_cap_sweep
