label,status,objective,economic_cost,first_stage_cost,operating_cost,latency_proxy,expected_co2,expected_water,co2_intensity,water_intensity,opened_sites,num_opened_sites,active_links,committed_capacity,accounting_mode,variant,gamma_co2,co2_slack,lambda_c,lambda_w,interconnect_cost_multiplier,binding_water_periods,water_cap_winter,water_used_winter,water_slack_winter,water_cap_spring,water_used_spring,water_slack_spring,water_cap_summer,water_used_summer,water_slack_summer,water_cap_autumn,water_used_autumn,water_slack_autumn
Baseline,2,4567.285221652146,4567.285221652146,3215.3823905655386,1351.9028310866072,0.0,249.5564001720916,529.7802683965702,0.1993090987133784,0.4231108788932614,"C1,C2,C3,C4,S1,S3",6,13,386.6865220830172,location_time,baseline,,,,,1.0,,,,,,,,,,,,,
Carbon cap 85%,2,4605.5147272735885,4605.5147272735885,3239.2373749613785,1366.27735231221,0.0,212.12294014627778,533.6678940715267,0.16941273390637157,0.42621574484290736,"C1,C2,C3,C4,S1,S3",6,15,386.6865220830176,location_time,capped,212.12294014627784,5.684341886080802e-14,,,1.0,,,,,,,,,,,,,
Handoff-contract hard envelope,2,4691.937213908908,4691.937213908908,3337.1151217974957,1354.8220921114128,0.0,210.26867329632623,472.8795568349599,0.167931817150147,0.37766692502281785,"C1,C2,C3,C4,S1,S3",6,14,386.6865220830175,location_time,capped,212.12294014627784,1.854266849951614,,,1.0,summer,92.90236229082491,91.68283142489258,1.2195308659323274,110.35026773140379,109.46757420287663,0.882693528527156,165.50670197089403,165.50670197089406,-2.842170943040401e-14,108.0429095637905,106.2224492362966,1.8204603274939046
Water cap 90%,2,4691.937213908907,4691.937213908907,3337.115121797495,1354.8220921114128,0.0,210.26867329632623,472.8795568349599,0.167931817150147,0.37766692502281785,"C1,C2,C3,C4,S1,S3",6,14,386.68652208301745,location_time,capped,,,,,1.0,summer,92.90236229082491,91.68283142489258,1.2195308659323274,110.35026773140379,109.46757420287663,0.882693528527156,165.50670197089403,165.50670197089408,-5.684341886080802e-14,108.0429095637905,106.2224492362966,1.8204603274939046
Internal price C=20 W=10,2,11408.444818131458,6201.20388356663,4255.4650824184855,1468.7249280810775,477.01387306706704,70.3715396965615,379.98101406336,0.05620247824669064,0.30347317635988763,"C1,C2,C3,C4,S1,S3,S4",7,16,386.68652208301756,location_time,priced,,,20.0,10.0,1.0,,,,,,,,,,,,,
"Internal-price planning (lambda_C=0, lambda_W=5)",2,7053.291220210613,4698.914166911214,3343.3202365259654,1355.5939303852483,0.0,211.5728740425372,470.8754106598799,0.16897342167357085,0.37606630661523704,"C1,C2,C3,C4,S1,S3",6,14,386.68652208301694,location_time,priced,,,0.0,5.0,1.0,,,,,,,,,,,,,
