label,status,objective,economic_cost,first_stage_cost,operating_cost,latency_proxy,expected_co2,expected_water,co2_intensity,water_intensity,opened_sites,num_opened_sites,active_links,committed_capacity,accounting_mode,variant,gamma_co2,co2_slack,lambda_c,lambda_w,interconnect_cost_multiplier,binding_water_periods,experiment
Interconnection cost x0.5,2,4445.932075305375,4445.932075305375,3101.10206000955,1344.8300152958254,0.0,235.12168307416493,516.2362013728065,0.18778076101902783,0.4122938620202883,"C1,C2,C3,C4,S1,S3",6,13,386.68652208301734,location_time,baseline,,,,,0.5,,interconnection_sensitivity
Interconnection cost x1,2,4567.285221652146,4567.285221652146,3215.3823905655386,1351.9028310866072,0.0,249.5564001720916,529.7802683965702,0.1993090987133784,0.4231108788932614,"C1,C2,C3,C4,S1,S3",6,13,386.6865220830172,location_time,baseline,,,,,1.0,,interconnection_sensitivity
Interconnection cost x2,2,4795.533970895017,4795.533970895017,3431.363521540636,1364.1704493543807,0.0,241.0779073297355,538.2681486312121,0.19253772051713688,0.42988975436344357,"C1,C2,C3,C4,S1,S3",6,13,386.68652208301677,location_time,baseline,,,,,2.0,,interconnection_sensitivity
Interconnection cost x4,2,5240.751183496422,5240.7511834964225,3876.5807341420414,1364.1704493543807,0.0,241.0779073297355,538.2681486312121,0.19253772051713688,0.42988975436344357,"C1,C2,C3,C4,S1,S3",6,13,386.6865220830168,location_time,baseline,,,,,4.0,,interconnection_sensitivity
